;id_user;gclid;date;hour;id_lead;lead_type;result
0;cefd8f05-8dd2-4e82-869f-1ddc57a9a4c3;Cj0KCQjw1dGJBhD4ARIsANb6Odl8LjduiZVnMw6VFe8APDpqYb-F49xL0uWAOYu9-XkfMLO7X4uXDIsaAs8hEALw_wcB;06/09/2021;9:06;7900;FORM;Ilocalizable
1;None;None;06/09/2021;9:53;7877;CALL;No le interesa
2;None;None;06/09/2021;11:38;7878;CALL;No le interesa
3;None;None;06/09/2021;12:04;7875;CALL;No le interesa
4;None;None;06/09/2021;12:47;7873;CALL;No le interesa
5;None;None;06/09/2021;12:57;7874;CALL;No le interesa
6;None;None;06/09/2021;13:41;7872;CALL;No le interesa
7;None;None;06/09/2021;13:45;7870;CALL;No le interesa
8;None;None;06/09/2021;13:55;7868;CALL;No le interesa
9;None;None;06/09/2021;14:56;7869;CALL;No le interesa
10;e942cf56-2aa1-462b-b561-dd47b332e880;Cj0KCQjw-NaJBhDsARIsAAja6dNU5vPDlafKLhm6CdDtyd1EBwy6ibiVAQzBOhqxvjyCR7ukG1laK5gaAqmcEALw_wcB;06/09/2021;14:10;7889;FORM;Positivo
11;None;None;06/09/2021;16:22;7866;CALL;Positivo
12;None;None;06/09/2021;17:24;7864;CALL;No le interesa
13;None;None;06/09/2021;17:25;7865;CALL;Ilocalizable
14;765f65aa-dea5-49e2-a0b8-656aa669b2fb;Cj0KCQjw-NaJBhDsARIsAAja6dOehjJTnm8rZs-IwWC5saYXy2RXBsq0HIbcCtqiWOVycgjq69WMcdIaAjysEALw_wcB;06/09/2021;18:20;7886;FORM;Positivo
15;None;None;06/09/2021;19:00;7835;CALL;Positivo
16;193f16ad-6dc0-401f-9593-06bfafb32264;Cj0KCQjw-NaJBhDsARIsAAja6dNCueDuJnpMRCegupZko2VJp1MDLsW0DYdJLOpAhikYr76FYQa1k38aAv54EALw_wcB;06/09/2021;19:11;7884;FORM;Ilocalizable
17;fbee18ca-6970-4015-8892-814e664b3dab;Cj0KCQjw-NaJBhDsARIsAAja6dM1v0WCTK_OfE2RBzWB7rg0vC1_pKNdnpvsTxYTAYt_Shw56KBf46MaAn0SEALw_wcB;06/09/2021;20:02;7836;CALL;No le interesa
18;2f59a840-26c4-4a41-b1b0-0c3cd3b669bf;EAIaIQobChMIsNjZj_Lq8gIVD6h3Ch2APQeBEAAYASAAEgLIL_D_BwE;06/09/2021;20:02;7881;FORM;Ilocalizable
19;3f336d07-2513-401a-984a-f258c032d686;Cj0KCQjw1dGJBhD4ARIsANb6Odlnpclu0aWW8w1k4oOWd7g1IE11WEQ00IZ4fYuqMnbULg7mXXPdJmYaAhEJEALw_wcB;06/09/2021;20:40;7879;FORM;Positivo
20;1d792022-78e4-4af9-9ea5-741117389e66;Cj0KCQjw-NaJBhDsARIsAAja6dM6qdbSmrcMxQl5WJrG9iqmP9rK8MgnwBu4Yyi-ami2MPliEUJrjnMaAlVnEALw_wcB;07/09/2021;11:37;7851;CALL;Ilocalizable
21;2f616f73-6d38-4041-95e9-911b90fbaee2;Cj0KCQjw-NaJBhDsARIsAAja6dMkLcC2x5KGCyFoyyjDiDevn9xB4Ui9TK40n30S1o37eGWvPSf7GiAaAm-XEALw_wcB;07/09/2021;17:58;7843;CALL;Ilocalizable
22;215134e8-3170-43dc-8f08-f06438129a9c;EAIaIQobChMIhsr_gYnp8gIVxQyLCh04MwVEEAAYASAAEgKPB_D_BwE;08/09/2021;10:54;7917;FORM;No le interesa
23;8fb314e8-b0fe-4e17-b398-c0c5d2a988d0;Cj0KCQjw1dGJBhD4ARIsANb6Odmm0scxrJhSEv-sJOjunwPSMTkeF8CRIkq2-Oal8d7PtLGRV2GswSUaAqrkEALw_wcB;08/09/2021;11:56;7914;CALL;Ilocalizable
24;ebde412f-7daf-4349-b888-fbf1d9deb04b;Cj0KCQjw-NaJBhDsARIsAAja6dNtVZXsxzlO0dE1Mk8wIsm8aYfHfbuHoq-1fb_5D_QuPevn0gI0CH8aAmDuEALw_wcB;08/09/2021;18:35;7922;FORM;Positivo
25;59257b75-5389-49e4-b1aa-5997ecfdc7f9;Cj0KCQjw1dGJBhD4ARIsANb6OdkF0-DcGTMMXczOIXbbjKMfjn7bHPBg7e6ItklUZjUBlrkdO5OLMe0aAjXvEALw_wcB;09/09/2021;13:45;7959;CALL;No le interesa
26;3f336d07-2513-401a-984a-f258c032d686;Cj0KCQjw1dGJBhD4ARIsANb6Odlnpclu0aWW8w1k4oOWd7g1IE11WEQ00IZ4fYuqMnbULg7mXXPdJmYaAhEJEALw_wcB;10/09/2021;12:27;8003;FORM;Positivo
27;fff88164-ce92-486c-a4d8-41c7b9779f24;EAIaIQobChMIquKwkIDq8gIVRLrVCh3JEwTmEAAYASAAEgLvofD_BwE;10/09/2021;17:36;7989;CALL;No le interesa
